Entropy before packing,Entropy after packing ,Difference in Entropy,Our Results
2.737439229,2.698149279,-0.03928995,Not packed
2.327975755,3.561502965,1.233527211,Not packed
3.622635173,2.692014842,-0.930620331,Not packed
1.218229556,1.929054483,0.710824927,Not packed
2.390417337,2.635219456,0.244802119,Not packed
2.175231047,1.742273673,-0.432957374,Not packed
1.240387212,1.909957889,0.669570677,Not packed
1.203332259,0.84714663,-0.356185629,Not packed
1.860095034,1.95095939,0.090864356,Not packed
1.473009934,1.811750941,0.338741007,Not packed
2.93956785,3.509202179,0.56963433,Not packed
2.89736379,2.431213517,-0.466150273,Not packed
2.888248775,2.429088082,-0.459160693,Not packed
2.772468648,2.700579498,-0.07188915,Not packed
3.205817617,2.644015933,-0.561801685,Not packed
2.811239531,3.621296126,0.810056595,Not packed
1.886218979,2.771269474,0.885050495,Not packed
2.217627808,1.674113929,-0.543513879,Not packed
2.444977731,1.773332034,-0.671645697,Not packed
1.204379515,0.847397909,-0.356981606,Not packed
2.443155453,2.711619454,0.268464001,Not packed
2.043247412,1.845108047,-0.198139365,Not packed
1.89759708,3.61046053,1.71286345,Not packed
3.488814913,3.405642455,-0.083172458,Not packed
4.410610709,3.337599354,-1.073011354,Not packed
1.22985447,0.845518617,-0.384335853,Not packed
1.693721586,1.917489942,0.223768356,Not packed
2.164213366,1.815207755,-0.349005611,Not packed
1.402758404,1.870743736,0.467985332,Not packed
3.177202274,3.805338238,0.628135964,Not packed
2.410241428,1.817705715,-0.592535713,Not packed
2.189257842,2.424139399,0.234881557,Not packed
1.167786397,0.862759484,-0.305026913,Not packed
2.095031708,1.709906957,-0.385124751,Not packed
1.602869812,1.738355307,0.135485494,Not packed
1.989668275,1.705484002,-0.284184273,Not packed
1.242993899,0.836119791,-0.406874108,Not packed
1.249950733,0.839660091,-0.410290642,Not packed
1.20175037,0.838249017,-0.363501353,Not packed
3.239051094,2.719440986,-0.519610108,Not packed
4.084177383,3.469175669,-0.615001714,Not packed
3.390676094,3.184271469,-0.206404625,Not packed
1.235776276,0.847468112,-0.388308164,Not packed
2.07145489,1.728345565,-0.343109324,Not packed
2.784791992,2.60594023,-0.178851763,Not packed
1.017514883,0.941823095,-0.075691788,Not packed
2.077098885,1.685865784,-0.391233101,Not packed
1.920426559,1.948513539,0.028086981,Not packed
2.037698648,1.78702574,-0.250672909,Not packed
1.997063488,1.977972019,-0.019091469,Not packed
2.248558082,1.716676538,-0.531881543,Not packed
2.527827904,2.804811616,0.276983712,Not packed
2.223691265,2.716604896,0.49291363,Not packed
2.967467105,2.707657612,-0.259809492,Not packed
2.187198047,1.725188801,-0.462009246,Not packed
2.380348836,1.69250705,-0.687841786,Not packed
0.910539251,0.908806194,-0.001733057,Not packed
3.463609391,2.624256584,-0.839352807,Not packed
2.153844944,1.841406657,-0.312438287,Not packed
3.495351192,2.602276354,-0.893074838,Not packed
2.177470782,1.612943628,-0.564527154,Not packed
2.214499936,1.647377181,-0.567122755,Not packed
2.480724809,2.590861716,0.110136907,Not packed
2.017810195,1.65974748,-0.358062716,Not packed
0.84152048,0.901974114,0.060453634,Not packed
0.840819044,0.915206514,0.074387469,Not packed
1.180376342,0.831178079,-0.349198264,Not packed
1.231945355,0.84323584,-0.388709516,Not packed
1.850460742,1.920816446,0.070355704,Not packed
1.271594789,1.906028409,0.634433621,Not packed
1.228436193,1.891443504,0.663007311,Not packed
1.981720547,1.764166535,-0.217554012,Not packed
1.745238046,1.906486974,0.161248928,Not packed
1.219349977,0.83543312,-0.383916856,Not packed
2.33221773,1.654048958,-0.678168772,Not packed
3.170774015,2.465344268,-0.705429748,Not packed
3.554617767,3.419925265,-0.134692501,Not packed
1.112521147,0.880451195,-0.232069952,Not packed
1.143206236,0.860613996,-0.28259224,Not packed
2.167369588,1.658010095,-0.509359493,Not packed
1.255127041,0.825626027,-0.429501014,Not packed
2.196975075,1.677669618,-0.519305457,Not packed
1.269747003,0.818142166,-0.451604837,Not packed
1.238301753,0.839144059,-0.399157695,Not packed
1.152215873,0.850777997,-0.301437877,Not packed
1.36438769,1.650005211,0.285617522,Not packed
1.015233377,0.880120472,-0.135112905,Not packed
0.931472083,0.685694581,-0.245777502,Not packed
1.205888008,0.837504172,-0.368383836,Not packed
2.455745768,1.796001709,-0.659744059,Not packed
2.382799399,1.728299659,-0.65449974,Not packed
2.052934064,1.770488973,-0.282445091,Not packed
3.262532988,3.40732639,0.144793402,Not packed
4.413662207,3.367341072,-1.046321135,Not packed
1.242411368,1.807976619,0.565565252,Not packed
1.245807708,0.811039289,-0.434768418,Not packed
1.141779464,0.873442654,-0.268336809,Not packed
2.417879517,2.781976641,0.364097124,Not packed
1.180313722,1.932968879,0.752655158,Not packed
1.193832226,0.855310462,-0.338521763,Not packed
1.053191147,0.891016689,-0.162174458,Not packed
1.261769076,0.828347039,-0.433422037,Not packed
4.927549865,3.413209445,-1.51434042,Not packed
1.161692289,0.857728416,-0.303963873,Not packed
2.042906154,2.561354402,0.518448248,Not packed
1.019385844,0.88718662,-0.132199225,Not packed
1.239210254,0.82675026,-0.412459995,Not packed
3.202743583,2.443560424,-0.759183159,Not packed
1.229913968,0.821183509,-0.408730459,Not packed
1.244773462,1.906140435,0.661366973,Not packed
1.179056142,0.86198148,-0.317074662,Not packed
1.221155456,0.847041359,-0.374114097,Not packed
1.030094227,0.895939374,-0.134154853,Not packed
2.066608964,1.764496379,-0.302112585,Not packed
1.872773193,2.730067523,0.857294329,Not packed
2.332668907,1.668367125,-0.664301782,Not packed
1.043827849,0.880040815,-0.163787034,Not packed
2.341323918,2.862366287,0.521042369,Not packed
1.240606871,0.836770803,-0.403836068,Not packed
4.142495331,3.441284294,-0.701211037,Not packed
2.44488613,1.686815258,-0.758070872,Not packed
1.273007554,1.89204533,0.619037776,Not packed
2.510533833,2.009880948,-0.500652885,Not packed
2.189320759,1.648128661,-0.541192098,Not packed
1.257995966,0.832777726,-0.42521824,Not packed
1.167424237,0.853694869,-0.313729368,Not packed
1.192176815,0.851018085,-0.34115873,Not packed
1.144559279,1.939930354,0.795371075,Not packed
2.063002847,1.686430313,-0.376572534,Not packed
2.94682464,2.562670669,-0.384153971,Not packed
2.28121462,1.673649061,-0.607565559,Not packed
2.46833955,2.765114675,0.296775126,Not packed
2.856128631,2.62047446,-0.23565417,Not packed
2.71712638,2.125606831,-0.591519549,Not packed
